epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,41.8477,1.39142,4.37556,1.61116,0.11953,0.2952,0.13278,0.08788,1.40085,3.65104,1.85861,0.000137241,0.000137241,0.000137241
2,56.7572,1.35988,3.97076,1.53738,0.25631,0.23128,0.22658,0.13769,1.61706,2.82245,2.11585,0.000273506,0.000273506,0.000273506
3,71.2147,1.42548,3.45943,1.58199,0.35921,0.25283,0.25033,0.1299,1.76882,3.17401,2.17213,0.000407019,0.000407019,0.000407019
4,85.437,1.43147,3.07628,1.57939,0.35587,0.35821,0.33483,0.18332,1.67694,2.68721,2.14577,0.000404615,0.000404615,0.000404615
5,99.8394,1.4166,2.81206,1.57473,0.55236,0.39788,0.40251,0.23395,1.63761,2.39014,2.08577,0.000400487,0.000400487,0.000400487
6,114.776,1.37657,2.62072,1.53733,0.49616,0.41249,0.43522,0.24796,1.5446,2.29666,2.00039,0.000396358,0.000396358,0.000396358
7,130.678,1.33516,2.46098,1.51986,0.63713,0.42316,0.52002,0.30167,1.59082,2.05031,1.97613,0.00039223,0.00039223,0.00039223
8,145.835,1.31678,2.34165,1.49068,0.547,0.45169,0.46602,0.2862,1.53812,2.12732,1.95918,0.000388102,0.000388102,0.000388102
9,161.162,1.3206,2.27383,1.51048,0.51883,0.48987,0.48138,0.31527,1.41148,2.15769,2.00587,0.000383974,0.000383974,0.000383974
10,176.401,1.31357,2.17121,1.49814,0.6968,0.43037,0.5215,0.29403,1.54482,2.03796,2.01875,0.000379845,0.000379845,0.000379845
11,191.766,1.27864,2.04724,1.45961,0.55927,0.48538,0.527,0.33578,1.49022,1.91605,1.94269,0.000375717,0.000375717,0.000375717
12,207.422,1.25042,2.02671,1.4626,0.56709,0.4013,0.53113,0.31044,1.55139,1.84485,2.0083,0.000371589,0.000371589,0.000371589
13,222.548,1.24478,1.92459,1.42847,0.58504,0.54903,0.57817,0.35956,1.54188,1.87726,2.0029,0.00036746,0.00036746,0.00036746
14,236.97,1.22573,1.85494,1.41026,0.58892,0.53238,0.59296,0.3911,1.46495,1.7575,1.8881,0.000363332,0.000363332,0.000363332
15,251.712,1.21742,1.80802,1.39712,0.57183,0.46829,0.51817,0.29741,1.49915,2.07299,1.96054,0.000359204,0.000359204,0.000359204
16,266.395,1.18106,1.74929,1.40089,0.59797,0.47326,0.56491,0.35756,1.55899,1.85412,1.95346,0.000355076,0.000355076,0.000355076
17,281.119,1.19856,1.7544,1.41663,0.60698,0.55981,0.59026,0.37174,1.3818,1.70212,1.86663,0.000350947,0.000350947,0.000350947
18,295.837,1.18238,1.69107,1.37686,0.52712,0.4755,0.49837,0.29265,1.46046,1.79334,1.88709,0.000346819,0.000346819,0.000346819
19,310.703,1.16722,1.68921,1.38961,0.56534,0.58858,0.5793,0.36219,1.43388,1.65035,1.90487,0.000342691,0.000342691,0.000342691
20,324.987,1.16531,1.63705,1.38152,0.56778,0.56051,0.53295,0.35011,1.36982,1.85862,1.85802,0.000338562,0.000338562,0.000338562
21,339.432,1.15631,1.61692,1.3667,0.7001,0.53457,0.59646,0.36583,1.38402,1.73333,1.87013,0.000334434,0.000334434,0.000334434
22,354.308,1.17451,1.60877,1.39483,0.59042,0.46122,0.5205,0.33071,1.46696,1.74646,1.90644,0.000330306,0.000330306,0.000330306
23,369.178,1.12182,1.53443,1.35716,0.52485,0.51567,0.54359,0.34508,1.41106,1.84203,1.80801,0.000326177,0.000326177,0.000326177
24,383.921,1.13765,1.50786,1.3418,0.64547,0.50996,0.53007,0.32395,1.40117,1.78541,1.85169,0.000322049,0.000322049,0.000322049
25,397.986,1.09754,1.43961,1.33242,0.59949,0.5536,0.61805,0.36759,1.43725,1.70137,1.87322,0.000317921,0.000317921,0.000317921
26,412.146,1.12519,1.45947,1.34796,0.57292,0.46396,0.53274,0.32408,1.42496,1.79557,1.8508,0.000313792,0.000313792,0.000313792
27,426.596,1.07201,1.41843,1.31926,0.6918,0.46219,0.55542,0.34547,1.4074,1.76792,1.82689,0.000309664,0.000309664,0.000309664
28,441.063,1.08286,1.3897,1.31507,0.61182,0.59567,0.61537,0.39436,1.33135,1.58138,1.78424,0.000305536,0.000305536,0.000305536
29,455.205,1.08986,1.37266,1.31289,0.69794,0.46664,0.55611,0.34232,1.35422,1.75946,1.79919,0.000301408,0.000301408,0.000301408
30,469.377,1.05841,1.31268,1.28854,0.60579,0.49952,0.57685,0.34209,1.43345,1.70082,1.84692,0.000297279,0.000297279,0.000297279
31,483.795,1.0494,1.31616,1.28596,0.63111,0.56908,0.60714,0.38874,1.37795,1.6992,1.8283,0.000293151,0.000293151,0.000293151
32,498.128,1.06425,1.32154,1.30312,0.60852,0.5735,0.58849,0.36892,1.46572,1.65694,1.90964,0.000289023,0.000289023,0.000289023
33,512.495,1.06368,1.27856,1.29319,0.66145,0.53036,0.58185,0.35236,1.42771,1.61288,1.84975,0.000284894,0.000284894,0.000284894
34,526.704,1.05113,1.27387,1.27652,0.64469,0.46134,0.56247,0.33876,1.43395,1.78938,1.83988,0.000280766,0.000280766,0.000280766
35,540.797,1.03084,1.22936,1.27824,0.64374,0.56007,0.58249,0.36137,1.38091,1.66138,1.79415,0.000276638,0.000276638,0.000276638
36,555.123,1.0355,1.23397,1.28766,0.63658,0.49916,0.55587,0.33943,1.41006,1.64036,1.8237,0.000272509,0.000272509,0.000272509
37,569.493,1.03061,1.24915,1.27508,0.66123,0.45576,0.53905,0.33277,1.39228,1.76,1.80938,0.000268381,0.000268381,0.000268381
38,584.119,1.00081,1.17834,1.25862,0.65786,0.5673,0.6291,0.37116,1.47092,1.53803,1.89199,0.000264253,0.000264253,0.000264253
39,598.194,1.01062,1.1877,1.25895,0.60716,0.57562,0.61302,0.37761,1.42464,1.60016,1.82995,0.000260125,0.000260125,0.000260125
40,612.395,1.01107,1.16259,1.25828,0.71058,0.47718,0.60132,0.36532,1.44379,1.61521,1.83867,0.000255996,0.000255996,0.000255996
41,628.124,1.00454,1.15637,1.26533,0.69332,0.54621,0.62137,0.36927,1.45408,1.6399,1.8657,0.000251868,0.000251868,0.000251868
42,643.783,0.9865,1.11256,1.23496,0.66003,0.63311,0.63695,0.38424,1.44723,1.51274,1.85484,0.00024774,0.00024774,0.00024774
43,659.237,0.95714,1.08303,1.21201,0.55059,0.63404,0.6093,0.39177,1.39677,1.62295,1.82057,0.000243611,0.000243611,0.000243611
44,674.481,0.98598,1.11751,1.2422,0.68415,0.61424,0.6599,0.40299,1.39869,1.50079,1.83598,0.000239483,0.000239483,0.000239483
45,689.826,0.97205,1.1079,1.23456,0.67351,0.57875,0.63189,0.39782,1.42529,1.51644,1.84053,0.000235355,0.000235355,0.000235355
46,705.13,0.96431,1.07647,1.21978,0.70095,0.55103,0.63339,0.41238,1.37754,1.5161,1.79588,0.000231226,0.000231226,0.000231226
47,720.522,0.93965,1.03567,1.20542,0.7621,0.56745,0.67024,0.39992,1.38499,1.47423,1.82551,0.000227098,0.000227098,0.000227098
48,735.817,0.96022,1.04137,1.22213,0.78965,0.56371,0.64323,0.38973,1.37177,1.54559,1.79832,0.00022297,0.00022297,0.00022297
49,751.247,0.95485,1.05597,1.22017,0.64155,0.56539,0.58347,0.34955,1.40719,1.62995,1.81527,0.000218842,0.000218842,0.000218842
50,766.637,0.94601,1.04029,1.2189,0.70884,0.53979,0.59908,0.36523,1.43746,1.61681,1.83983,0.000214713,0.000214713,0.000214713
51,781.991,0.95199,1.04709,1.22053,0.71579,0.53866,0.61567,0.3752,1.38202,1.62031,1.82045,0.000210585,0.000210585,0.000210585
52,797.311,0.93896,0.98939,1.20013,0.69659,0.57223,0.62138,0.37334,1.39457,1.55848,1.85681,0.000206457,0.000206457,0.000206457
53,812.917,0.90466,0.97062,1.18361,0.69229,0.62625,0.66625,0.40813,1.39422,1.4651,1.8414,0.000202328,0.000202328,0.000202328
54,828.341,0.91176,0.9706,1.2015,0.69301,0.56488,0.66056,0.40721,1.41583,1.53067,1.86433,0.0001982,0.0001982,0.0001982
55,843.594,0.91953,0.97304,1.18699,0.62139,0.6448,0.62862,0.37414,1.44479,1.56113,1.91139,0.000194072,0.000194072,0.000194072
56,859.042,0.91867,0.9726,1.18672,0.70679,0.59128,0.63376,0.37535,1.45214,1.58007,1.85739,0.000189943,0.000189943,0.000189943
57,873.669,0.88617,0.92833,1.18017,0.68454,0.6213,0.65137,0.38511,1.40736,1.50532,1.86033,0.000185815,0.000185815,0.000185815
